# Graph for Java/GraphStream
# Nodes: 28
# Edges: 317

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Alphonse Areola | Víctor Ruiz | 33 | 37 | 47
EDGE Alphonse Areola | Daniele Bonera | 7 | 37 | 11
EDGE Alphonse Areola | Jaume Costa | 20 | 37 | 24
EDGE Alphonse Areola | Mario Gaspar | 31 | 37 | 42
EDGE Alphonse Areola | Bruno Soriano | 28 | 37 | 40
EDGE Alphonse Areola | Jonathan dos Santos | 20 | 37 | 28
EDGE Alphonse Areola | Denis Suárez | 26 | 37 | 36
EDGE Alphonse Areola | Samu Castillejo | 16 | 37 | 31
EDGE Alphonse Areola | Matías Nahuel | 10 | 37 | 17
EDGE Alphonse Areola | Cédric Bakambu | 22 | 37 | 34
EDGE Alphonse Areola | Eric Bailly | 22 | 37 | 35
EDGE Alphonse Areola | Bojan Jokic | 2 | 37 | 7
EDGE Alphonse Areola | Tomás Pina | 19 | 37 | 27
EDGE Alphonse Areola | Manu Trigueros | 23 | 37 | 32
EDGE Alphonse Areola | Alfonso Pedraza | 2 | 37 | 2
EDGE Alphonse Areola | Samu García | 5 | 37 | 15
EDGE Alphonse Areola | Roberto Soldado | 30 | 37 | 39
EDGE Alphonse Areola | Mateo Musacchio | 15 | 37 | 19
EDGE Alphonse Areola | Adrián Marín | 10 | 37 | 13
EDGE Alphonse Areola | Léo Baptistão | 10 | 37 | 17
EDGE Alphonse Areola | Adrián López | 7 | 37 | 11
EDGE Alphonse Areola | Antonio Rukavina | 11 | 37 | 27
EDGE Alphonse Areola | Rodri | 1 | 37 | 4
EDGE Víctor Ruiz | Daniele Bonera | 7 | 47 | 11
EDGE Víctor Ruiz | Jaume Costa | 23 | 47 | 24
EDGE Víctor Ruiz | Mario Gaspar | 38 | 47 | 42
EDGE Víctor Ruiz | Bruno Soriano | 37 | 47 | 40
EDGE Víctor Ruiz | Jonathan dos Santos | 23 | 47 | 28
EDGE Víctor Ruiz | Denis Suárez | 33 | 47 | 36
EDGE Víctor Ruiz | Samu Castillejo | 25 | 47 | 31
EDGE Víctor Ruiz | Matías Nahuel | 12 | 47 | 17
EDGE Víctor Ruiz | Cédric Bakambu | 30 | 47 | 34
EDGE Víctor Ruiz | Mariano Barbosa | 8 | 47 | 12
EDGE Víctor Ruiz | Eric Bailly | 28 | 47 | 35
EDGE Víctor Ruiz | Antonio Rukavina | 21 | 47 | 27
EDGE Víctor Ruiz | Roberto Soldado | 37 | 47 | 39
EDGE Víctor Ruiz | Léo Baptistão | 13 | 47 | 17
EDGE Víctor Ruiz | Bojan Jokic | 5 | 47 | 7
EDGE Víctor Ruiz | Tomás Pina | 25 | 47 | 27
EDGE Víctor Ruiz | Manu Trigueros | 25 | 47 | 32
EDGE Víctor Ruiz | Alfonso Pedraza | 2 | 47 | 2
EDGE Víctor Ruiz | Samu García | 9 | 47 | 15
EDGE Víctor Ruiz | Sergio Asenjo | 6 | 47 | 7
EDGE Víctor Ruiz | Adrián López | 7 | 47 | 11
EDGE Víctor Ruiz | Mateo Musacchio | 13 | 47 | 19
EDGE Víctor Ruiz | Adrián Marín | 9 | 47 | 13
EDGE Víctor Ruiz | Rodri | 1 | 47 | 4
EDGE Daniele Bonera | Jaume Costa | 2 | 11 | 24
EDGE Daniele Bonera | Mario Gaspar | 8 | 11 | 42
EDGE Daniele Bonera | Bruno Soriano | 9 | 11 | 40
EDGE Daniele Bonera | Jonathan dos Santos | 5 | 11 | 28
EDGE Daniele Bonera | Denis Suárez | 6 | 11 | 36
EDGE Daniele Bonera | Samu Castillejo | 8 | 11 | 31
EDGE Daniele Bonera | Matías Nahuel | 3 | 11 | 17
EDGE Daniele Bonera | Cédric Bakambu | 4 | 11 | 34
EDGE Daniele Bonera | Mateo Musacchio | 2 | 11 | 19
EDGE Daniele Bonera | Adrián Marín | 3 | 11 | 13
EDGE Daniele Bonera | Eric Bailly | 5 | 11 | 35
EDGE Daniele Bonera | Manu Trigueros | 5 | 11 | 32
EDGE Daniele Bonera | Léo Baptistão | 4 | 11 | 17
EDGE Daniele Bonera | Adrián López | 7 | 11 | 11
EDGE Daniele Bonera | Sergio Asenjo | 1 | 11 | 7
EDGE Daniele Bonera | Antonio Rukavina | 7 | 11 | 27
EDGE Daniele Bonera | Tomás Pina | 4 | 11 | 27
EDGE Daniele Bonera | Roberto Soldado | 4 | 11 | 39
EDGE Daniele Bonera | Mariano Barbosa | 3 | 11 | 12
EDGE Daniele Bonera | Samu García | 4 | 11 | 15
EDGE Daniele Bonera | Rodri | 1 | 11 | 4
EDGE Daniele Bonera | Bojan Jokic | 1 | 11 | 7
EDGE Jaume Costa | Mario Gaspar | 20 | 24 | 42
EDGE Jaume Costa | Bruno Soriano | 21 | 24 | 40
EDGE Jaume Costa | Jonathan dos Santos | 16 | 24 | 28
EDGE Jaume Costa | Denis Suárez | 17 | 24 | 36
EDGE Jaume Costa | Samu Castillejo | 11 | 24 | 31
EDGE Jaume Costa | Matías Nahuel | 7 | 24 | 17
EDGE Jaume Costa | Cédric Bakambu | 16 | 24 | 34
EDGE Jaume Costa | Mariano Barbosa | 2 | 24 | 12
EDGE Jaume Costa | Eric Bailly | 14 | 24 | 35
EDGE Jaume Costa | Antonio Rukavina | 4 | 24 | 27
EDGE Jaume Costa | Roberto Soldado | 23 | 24 | 39
EDGE Jaume Costa | Léo Baptistão | 7 | 24 | 17
EDGE Jaume Costa | Tomás Pina | 11 | 24 | 27
EDGE Jaume Costa | Manu Trigueros | 13 | 24 | 32
EDGE Jaume Costa | Samu García | 1 | 24 | 15
EDGE Jaume Costa | Sergio Asenjo | 2 | 24 | 7
EDGE Jaume Costa | Mateo Musacchio | 9 | 24 | 19
EDGE Jaume Costa | Adrián Marín | 1 | 24 | 13
EDGE Mario Gaspar | Bruno Soriano | 32 | 42 | 40
EDGE Mario Gaspar | Jonathan dos Santos | 21 | 42 | 28
EDGE Mario Gaspar | Denis Suárez | 30 | 42 | 36
EDGE Mario Gaspar | Samu Castillejo | 22 | 42 | 31
EDGE Mario Gaspar | Matías Nahuel | 11 | 42 | 17
EDGE Mario Gaspar | Cédric Bakambu | 27 | 42 | 34
EDGE Mario Gaspar | Eric Bailly | 26 | 42 | 35
EDGE Mario Gaspar | Bojan Jokic | 3 | 42 | 7
EDGE Mario Gaspar | Tomás Pina | 21 | 42 | 27
EDGE Mario Gaspar | Manu Trigueros | 26 | 42 | 32
