# Graph for Java/GraphStream
# Nodes: 34
# Edges: 371

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Mariano Barbosa | Pau Torres | 2 | 20 | 4
EDGE Mariano Barbosa | Álvaro González | 13 | 20 | 37
EDGE Mariano Barbosa | Antonio Rukavina | 8 | 20 | 21
EDGE Mariano Barbosa | Mario Gaspar | 14 | 20 | 37
EDGE Mariano Barbosa | Manu Trigueros | 18 | 20 | 41
EDGE Mariano Barbosa | Ramiro Guerra | 4 | 20 | 5
EDGE Mariano Barbosa | Denis Cheryshev | 2 | 20 | 12
EDGE Mariano Barbosa | Samu Castillejo | 9 | 20 | 29
EDGE Mariano Barbosa | Dani Raba | 4 | 20 | 18
EDGE Mariano Barbosa | Enes Ünal | 5 | 20 | 17
EDGE Mariano Barbosa | Víctor Ruiz | 15 | 20 | 34
EDGE Mariano Barbosa | Jaume Costa | 13 | 20 | 35
EDGE Mariano Barbosa | Rodri | 16 | 20 | 43
EDGE Mariano Barbosa | Roberto Soriano | 8 | 20 | 17
EDGE Mariano Barbosa | Pablo Fornals | 17 | 20 | 38
EDGE Mariano Barbosa | Carlos Bacca | 14 | 20 | 37
EDGE Mariano Barbosa | Cédric Bakambu | 14 | 20 | 18
EDGE Mariano Barbosa | Daniele Bonera | 7 | 20 | 20
EDGE Mariano Barbosa | Adrián Marín | 5 | 20 | 7
EDGE Mariano Barbosa | Rúben Semedo | 2 | 20 | 4
EDGE Mariano Barbosa | Nicola Sansone | 4 | 20 | 8
EDGE Mariano Barbosa | Genís Montolio | 1 | 20 | 1
EDGE Mariano Barbosa | Chuca | 2 | 20 | 3
EDGE Mariano Barbosa | Manu Morlanes | 1 | 20 | 1
EDGE Mariano Barbosa | Mario González | 1 | 20 | 1
EDGE Mariano Barbosa | Darío Poveda | 1 | 20 | 1
EDGE Pau Torres | Álvaro González | 1 | 4 | 37
EDGE Pau Torres | Antonio Rukavina | 4 | 4 | 21
EDGE Pau Torres | Mario Gaspar | 1 | 4 | 37
EDGE Pau Torres | Manu Trigueros | 1 | 4 | 41
EDGE Pau Torres | Ramiro Guerra | 3 | 4 | 5
EDGE Pau Torres | Denis Cheryshev | 2 | 4 | 12
EDGE Pau Torres | Samu Castillejo | 2 | 4 | 29
EDGE Pau Torres | Dani Raba | 2 | 4 | 18
