# Graph for Java/GraphStream
# Nodes: 28
# Edges: 329

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Andrés Fernández | Ramiro Funes Mori | 16 | 22 | 39
EDGE Andrés Fernández | Álvaro González | 14 | 22 | 41
EDGE Andrés Fernández | Jaume Costa | 10 | 22 | 26
EDGE Andrés Fernández | Mario Gaspar | 14 | 22 | 39
EDGE Andrés Fernández | Santiago Cáseres | 10 | 22 | 26
EDGE Andrés Fernández | Manu Morlanes | 4 | 22 | 11
EDGE Andrés Fernández | Pablo Fornals | 15 | 22 | 38
EDGE Andrés Fernández | Manu Trigueros | 9 | 22 | 26
EDGE Andrés Fernández | Karl Toko Ekambi | 11 | 22 | 31
EDGE Andrés Fernández | Carlos Bacca | 11 | 22 | 19
EDGE Andrés Fernández | Daniele Bonera | 6 | 22 | 10
EDGE Andrés Fernández | Miguel Layún | 6 | 22 | 11
EDGE Andrés Fernández | Alfonso Pedraza | 10 | 22 | 30
EDGE Andrés Fernández | Dani Raba | 9 | 22 | 10
EDGE Andrés Fernández | Víctor Ruiz | 11 | 22 | 33
EDGE Andrés Fernández | Javi Fuego | 6 | 22 | 8
EDGE Andrés Fernández | Samuel Chukwueze | 12 | 22 | 26
EDGE Andrés Fernández | Gerard Moreno | 9 | 22 | 32
EDGE Andrés Fernández | Vicente Iborra | 8 | 22 | 22
EDGE Andrés Fernández | Miguel Llambrich | 6 | 22 | 11
EDGE Andrés Fernández | Xavi Quintillà | 7 | 22 | 9
EDGE Andrés Fernández | Santi Cazorla | 9 | 22 | 34
EDGE Andrés Fernández | Nicola Sansone | 4 | 22 | 4
EDGE Andrés Fernández | Pepe Castaño | 1 | 22 | 1
EDGE Andrés Fernández | Manuel Iturra | 1 | 22 | 2
EDGE Andrés Fernández | Andrei Rațiu | 1 | 22 | 1
EDGE Ramiro Funes Mori | Álvaro González | 29 | 39 | 41
EDGE Ramiro Funes Mori | Jaume Costa | 21 | 39 | 26
EDGE Ramiro Funes Mori | Mario Gaspar | 27 | 39 | 39
EDGE Ramiro Funes Mori | Santiago Cáseres | 15 | 39 | 26
EDGE Ramiro Funes Mori | Manu Morlanes | 9 | 39 | 11
EDGE Ramiro Funes Mori | Pablo Fornals | 30 | 39 | 38
EDGE Ramiro Funes Mori | Manu Trigueros | 19 | 39 | 26
EDGE Ramiro Funes Mori | Karl Toko Ekambi | 23 | 39 | 31
EDGE Ramiro Funes Mori | Carlos Bacca | 16 | 39 | 19
EDGE Ramiro Funes Mori | Sergio Asenjo | 23 | 39 | 32
EDGE Ramiro Funes Mori | Samuel Chukwueze | 18 | 39 | 26
EDGE Ramiro Funes Mori | Gerard Moreno | 23 | 39 | 32
EDGE Ramiro Funes Mori | Miguel Llambrich | 9 | 39 | 11
EDGE Ramiro Funes Mori | Víctor Ruiz | 20 | 39 | 33
EDGE Ramiro Funes Mori | Alfonso Pedraza | 20 | 39 | 30
