# Graph for Java/GraphStream
# Nodes: 27
# Edges: 270

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergio Asenjo | Pau Torres | 29 | 34 | 35
EDGE Sergio Asenjo | Raúl Albiol | 32 | 34 | 38
EDGE Sergio Asenjo | Xavi Quintillà | 15 | 34 | 20
EDGE Sergio Asenjo | Mario Gaspar | 20 | 34 | 24
EDGE Sergio Asenjo | Frank Anguissa | 26 | 34 | 31
EDGE Sergio Asenjo | Manu Trigueros | 17 | 34 | 19
EDGE Sergio Asenjo | Manu Morlanes | 3 | 34 | 7
EDGE Sergio Asenjo | Moi Gómez | 23 | 34 | 28
EDGE Sergio Asenjo | Gerard Moreno | 29 | 34 | 34
EDGE Sergio Asenjo | Karl Toko Ekambi | 9 | 34 | 12
EDGE Sergio Asenjo | Ramiro Funes Mori | 5 | 34 | 10
EDGE Sergio Asenjo | Rubén Peña | 19 | 34 | 24
EDGE Sergio Asenjo | Vicente Iborra | 29 | 34 | 34
EDGE Sergio Asenjo | Santi Cazorla | 25 | 34 | 32
EDGE Sergio Asenjo | Paco Alcácer | 11 | 34 | 11
EDGE Sergio Asenjo | Soufiane Chakla | 2 | 34 | 3
EDGE Sergio Asenjo | Alberto Moreno | 15 | 34 | 18
EDGE Sergio Asenjo | Javi Ontiveros | 7 | 34 | 12
EDGE Sergio Asenjo | Carlos Bacca | 7 | 34 | 11
EDGE Sergio Asenjo | Samuel Chukwueze | 16 | 34 | 22
EDGE Sergio Asenjo | Fer Niño | 1 | 34 | 1
EDGE Pau Torres | Raúl Albiol | 31 | 35 | 38
EDGE Pau Torres | Xavi Quintillà | 18 | 35 | 20
EDGE Pau Torres | Mario Gaspar | 18 | 35 | 24
EDGE Pau Torres | Frank Anguissa | 29 | 35 | 31
EDGE Pau Torres | Manu Trigueros | 13 | 35 | 19
EDGE Pau Torres | Manu Morlanes | 4 | 35 | 7
EDGE Pau Torres | Moi Gómez | 22 | 35 | 28
EDGE Pau Torres | Gerard Moreno | 29 | 35 | 34
EDGE Pau Torres | Karl Toko Ekambi | 12 | 35 | 12
EDGE Pau Torres | Alberto Moreno | 15 | 35 | 18
EDGE Pau Torres | Rubén Peña | 19 | 35 | 24
EDGE Pau Torres | Vicente Iborra | 28 | 35 | 34
EDGE Pau Torres | Santi Cazorla | 26 | 35 | 32
EDGE Pau Torres | Javi Ontiveros | 8 | 35 | 12
EDGE Pau Torres | Samuel Chukwueze | 19 | 35 | 22
EDGE Pau Torres | Carlos Bacca | 7 | 35 | 11
EDGE Pau Torres | Andrés Fernández | 6 | 35 | 9
EDGE Pau Torres | Bruno Soriano | 1 | 35 | 1
EDGE Pau Torres | Paco Alcácer | 8 | 35 | 11
EDGE Pau Torres | Soufiane Chakla | 1 | 35 | 3
EDGE Pau Torres | Ramiro Funes Mori | 3 | 35 | 10
EDGE Pau Torres | Miguel Leal | 1 | 35 | 1
EDGE Pau Torres | Sergio Lozano | 1 | 35 | 1
EDGE Pau Torres | Leo Suárez | 1 | 35 | 1
EDGE Pau Torres | Fer Niño | 1 | 35 | 1
EDGE Raúl Albiol | Xavi Quintillà | 16 | 38 | 20
EDGE Raúl Albiol | Mario Gaspar | 22 | 38 | 24
EDGE Raúl Albiol | Frank Anguissa | 27 | 38 | 31
EDGE Raúl Albiol | Manu Trigueros | 19 | 38 | 19
EDGE Raúl Albiol | Manu Morlanes | 4 | 38 | 7
EDGE Raúl Albiol | Moi Gómez | 26 | 38 | 28
EDGE Raúl Albiol | Gerard Moreno | 31 | 38 | 34
EDGE Raúl Albiol | Karl Toko Ekambi | 10 | 38 | 12
EDGE Raúl Albiol | Ramiro Funes Mori | 6 | 38 | 10
EDGE Raúl Albiol | Rubén Peña | 20 | 38 | 24
EDGE Raúl Albiol | Vicente Iborra | 32 | 38 | 34
EDGE Raúl Albiol | Santi Cazorla | 29 | 38 | 32
EDGE Raúl Albiol | Paco Alcácer | 11 | 38 | 11
EDGE Raúl Albiol | Soufiane Chakla | 1 | 38 | 3
EDGE Raúl Albiol | Alberto Moreno | 18 | 38 | 18
EDGE Raúl Albiol | Javi Ontiveros | 9 | 38 | 12
EDGE Raúl Albiol | Carlos Bacca | 9 | 38 | 11
EDGE Raúl Albiol | Samuel Chukwueze | 19 | 38 | 22
EDGE Raúl Albiol | Andrés Fernández | 6 | 38 | 9
EDGE Raúl Albiol | Bruno Soriano | 1 | 38 | 1
EDGE Raúl Albiol | Fer Niño | 1 | 38 | 1
EDGE Xavi Quintillà | Mario Gaspar | 11 | 20 | 24
EDGE Xavi Quintillà | Frank Anguissa | 19 | 20 | 31
EDGE Xavi Quintillà | Manu Trigueros | 7 | 20 | 19
EDGE Xavi Quintillà | Manu Morlanes | 4 | 20 | 7
EDGE Xavi Quintillà | Moi Gómez | 14 | 20 | 28
EDGE Xavi Quintillà | Gerard Moreno | 17 | 20 | 34
EDGE Xavi Quintillà | Karl Toko Ekambi | 7 | 20 | 12
EDGE Xavi Quintillà | Rubén Peña | 10 | 20 | 24
EDGE Xavi Quintillà | Vicente Iborra | 16 | 20 | 34
EDGE Xavi Quintillà | Santi Cazorla | 12 | 20 | 32
EDGE Xavi Quintillà | Samuel Chukwueze | 13 | 20 | 22
EDGE Xavi Quintillà | Andrés Fernández | 5 | 20 | 9
EDGE Xavi Quintillà | Ramiro Funes Mori | 4 | 20 | 10
EDGE Xavi Quintillà | Javi Ontiveros | 5 | 20 | 12
EDGE Xavi Quintillà | Carlos Bacca | 4 | 20 | 11
EDGE Xavi Quintillà | Soufiane Chakla | 2 | 20 | 3
EDGE Xavi Quintillà | Paco Alcácer | 1 | 20 | 11
EDGE Mario Gaspar | Frank Anguissa | 17 | 24 | 31
EDGE Mario Gaspar | Manu Trigueros | 13 | 24 | 19
EDGE Mario Gaspar | Manu Morlanes | 3 | 24 | 7
EDGE Mario Gaspar | Moi Gómez | 16 | 24 | 28
EDGE Mario Gaspar | Gerard Moreno | 19 | 24 | 34
EDGE Mario Gaspar | Karl Toko Ekambi | 6 | 24 | 12
EDGE Mario Gaspar | Ramiro Funes Mori | 6 | 24 | 10
EDGE Mario Gaspar | Rubén Peña | 5 | 24 | 24
EDGE Mario Gaspar | Vicente Iborra | 20 | 24 | 34
EDGE Mario Gaspar | Santi Cazorla | 17 | 24 | 32
EDGE Mario Gaspar | Paco Alcácer | 8 | 24 | 11
EDGE Mario Gaspar | Alberto Moreno | 9 | 24 | 18
EDGE Mario Gaspar | Samuel Chukwueze | 16 | 24 | 22
EDGE Mario Gaspar | Carlos Bacca | 5 | 24 | 11
EDGE Mario Gaspar | Andrés Fernández | 4 | 24 | 9
EDGE Mario Gaspar | Javi Ontiveros | 3 | 24 | 12
EDGE Mario Gaspar | Soufiane Chakla | 2 | 24 | 3
EDGE Frank Anguissa | Manu Trigueros | 11 | 31 | 19
EDGE Frank Anguissa | Manu Morlanes | 4 | 31 | 7
EDGE Frank Anguissa | Moi Gómez | 19 | 31 | 28
EDGE Frank Anguissa | Gerard Moreno | 25 | 31 | 34
EDGE Frank Anguissa | Karl Toko Ekambi | 9 | 31 | 12
EDGE Frank Anguissa | Alberto Moreno | 11 | 31 | 18
EDGE Frank Anguissa | Rubén Peña | 16 | 31 | 24
EDGE Frank Anguissa | Vicente Iborra | 24 | 31 | 34
EDGE Frank Anguissa | Santi Cazorla | 22 | 31 | 32
EDGE Frank Anguissa | Javi Ontiveros | 8 | 31 | 12
EDGE Frank Anguissa | Samuel Chukwueze | 18 | 31 | 22
EDGE Frank Anguissa | Carlos Bacca | 7 | 31 | 11
EDGE Frank Anguissa | Andrés Fernández | 5 | 31 | 9
EDGE Frank Anguissa | Ramiro Funes Mori | 4 | 31 | 10
EDGE Frank Anguissa | Bruno Soriano | 1 | 31 | 1
EDGE Frank Anguissa | Soufiane Chakla | 2 | 31 | 3
EDGE Frank Anguissa | Paco Alcácer | 5 | 31 | 11
EDGE Frank Anguissa | Fer Niño | 1 | 31 | 1
EDGE Manu Trigueros | Manu Morlanes | 3 | 19 | 7
EDGE Manu Trigueros | Moi Gómez | 14 | 19 | 28
EDGE Manu Trigueros | Gerard Moreno | 12 | 19 | 34
EDGE Manu Trigueros | Karl Toko Ekambi | 2 | 19 | 12
EDGE Manu Trigueros | Ramiro Funes Mori | 6 | 19 | 10
EDGE Manu Trigueros | Rubén Peña | 9 | 19 | 24
EDGE Manu Trigueros | Vicente Iborra | 13 | 19 | 34
EDGE Manu Trigueros | Santi Cazorla | 11 | 19 | 32
EDGE Manu Trigueros | Paco Alcácer | 7 | 19 | 11
EDGE Manu Trigueros | Alberto Moreno | 9 | 19 | 18
EDGE Manu Trigueros | Samuel Chukwueze | 9 | 19 | 22
EDGE Manu Trigueros | Carlos Bacca | 6 | 19 | 11
EDGE Manu Trigueros | Andrés Fernández | 2 | 19 | 9
EDGE Manu Trigueros | Javi Ontiveros | 6 | 19 | 12
EDGE Manu Trigueros | Fer Niño | 1 | 19 | 1
EDGE Manu Morlanes | Moi Gómez | 5 | 7 | 28
EDGE Manu Morlanes | Gerard Moreno | 3 | 7 | 34
EDGE Manu Morlanes | Karl Toko Ekambi | 2 | 7 | 12
EDGE Manu Morlanes | Soufiane Chakla | 2 | 7 | 3
EDGE Manu Morlanes | Alberto Moreno | 2 | 7 | 18
EDGE Manu Morlanes | Rubén Peña | 5 | 7 | 24
EDGE Manu Morlanes | Vicente Iborra | 1 | 7 | 34
EDGE Manu Morlanes | Javi Ontiveros | 5 | 7 | 12
EDGE Manu Morlanes | Carlos Bacca | 5 | 7 | 11
EDGE Manu Morlanes | Andrés Fernández | 4 | 7 | 9
EDGE Manu Morlanes | Ramiro Funes Mori | 4 | 7 | 10
EDGE Manu Morlanes | Santi Cazorla | 2 | 7 | 32
EDGE Manu Morlanes | Samuel Chukwueze | 2 | 7 | 22
EDGE Manu Morlanes | Miguel Leal | 1 | 7 | 1
EDGE Manu Morlanes | Sergio Lozano | 1 | 7 | 1
