# Graph for Java/GraphStream
# Nodes: 28
# Edges: 322

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gerónimo Rulli | Raúl Albiol | 41 | 46 | 42
EDGE Gerónimo Rulli | Aïssa Mandi | 9 | 46 | 16
EDGE Gerónimo Rulli | Alfonso Pedraza | 20 | 46 | 26
EDGE Gerónimo Rulli | Juan Foyth | 33 | 46 | 34
EDGE Gerónimo Rulli | Étienne Capoue | 38 | 46 | 40
EDGE Gerónimo Rulli | Manu Trigueros | 28 | 46 | 34
EDGE Gerónimo Rulli | Alberto Moreno | 17 | 46 | 19
EDGE Gerónimo Rulli | Yéremy Pino | 23 | 46 | 28
EDGE Gerónimo Rulli | Gerard Moreno | 20 | 46 | 21
EDGE Gerónimo Rulli | Boulaye Dia | 14 | 46 | 17
EDGE Gerónimo Rulli | Pau Torres | 41 | 46 | 47
EDGE Gerónimo Rulli | Mario Gaspar | 5 | 46 | 10
EDGE Gerónimo Rulli | Vicente Iborra | 8 | 46 | 14
EDGE Gerónimo Rulli | Dani Parejo | 39 | 46 | 44
EDGE Gerónimo Rulli | Rubén Peña | 2 | 46 | 3
EDGE Gerónimo Rulli | Francis Coquelin | 14 | 46 | 14
EDGE Gerónimo Rulli | Arnaut Danjuma | 24 | 46 | 27
EDGE Gerónimo Rulli | Serge Aurier | 8 | 46 | 11
EDGE Gerónimo Rulli | Giovani Lo Celso | 15 | 46 | 17
EDGE Gerónimo Rulli | Samuel Chukwueze | 12 | 46 | 16
EDGE Gerónimo Rulli | Moi Gómez | 14 | 46 | 17
EDGE Gerónimo Rulli | Dani Raba | 2 | 46 | 3
EDGE Gerónimo Rulli | Nicolas Jackson | 1 | 46 | 1
EDGE Gerónimo Rulli | Pervis Estupiñán | 23 | 46 | 25
EDGE Gerónimo Rulli | Paco Alcácer | 9 | 46 | 13
EDGE Raúl Albiol | Aïssa Mandi | 4 | 42 | 16
EDGE Raúl Albiol | Alfonso Pedraza | 18 | 42 | 26
EDGE Raúl Albiol | Juan Foyth | 31 | 42 | 34
EDGE Raúl Albiol | Étienne Capoue | 37 | 42 | 40
EDGE Raúl Albiol | Manu Trigueros | 24 | 42 | 34
EDGE Raúl Albiol | Alberto Moreno | 17 | 42 | 19
EDGE Raúl Albiol | Yéremy Pino | 21 | 42 | 28
EDGE Raúl Albiol | Gerard Moreno | 18 | 42 | 21
