# Graph for Java/GraphStream
# Nodes: 29
# Edges: 344

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Pepe Reina | Pau Torres | 21 | 32 | 36
EDGE Pepe Reina | Raúl Albiol | 11 | 32 | 26
EDGE Pepe Reina | Alfonso Pedraza | 12 | 32 | 22
EDGE Pepe Reina | Juan Foyth | 21 | 32 | 26
EDGE Pepe Reina | Dani Parejo | 24 | 32 | 41
EDGE Pepe Reina | Ramón Terrats | 12 | 32 | 12
EDGE Pepe Reina | Manu Trigueros | 10 | 32 | 14
EDGE Pepe Reina | Yéremy Pino | 23 | 32 | 36
EDGE Pepe Reina | Samuel Chukwueze | 28 | 32 | 39
EDGE Pepe Reina | Gerard Moreno | 11 | 32 | 18
EDGE Pepe Reina | Jorge Cuenca | 12 | 32 | 17
EDGE Pepe Reina | Aïssa Mandi | 22 | 32 | 29
EDGE Pepe Reina | Johan Mojica | 10 | 32 | 14
EDGE Pepe Reina | Manu Morlanes | 7 | 32 | 12
EDGE Pepe Reina | Francis Coquelin | 8 | 32 | 17
EDGE Pepe Reina | Álex Baena | 22 | 32 | 32
EDGE Pepe Reina | José Luis Morales | 14 | 32 | 19
EDGE Pepe Reina | Diego Collado | 1 | 32 | 1
EDGE Pepe Reina | Étienne Capoue | 10 | 32 | 23
EDGE Pepe Reina | Nicolas Jackson | 10 | 32 | 20
EDGE Pepe Reina | Kiko Femenía | 7 | 32 | 17
EDGE Pepe Reina | Arnaut Danjuma | 3 | 32 | 10
EDGE Pepe Reina | Adrián Dela | 2 | 32 | 5
EDGE Pepe Reina | Alberto Moreno | 10 | 32 | 17
EDGE Pepe Reina | Giovani Lo Celso | 8 | 32 | 16
EDGE Pepe Reina | Jorge Pascual | 1 | 32 | 1
EDGE Pau Torres | Raúl Albiol | 22 | 36 | 26
EDGE Pau Torres | Alfonso Pedraza | 19 | 36 | 22
EDGE Pau Torres | Juan Foyth | 20 | 36 | 26
EDGE Pau Torres | Dani Parejo | 35 | 36 | 41
EDGE Pau Torres | Ramón Terrats | 10 | 36 | 12
EDGE Pau Torres | Manu Trigueros | 8 | 36 | 14
EDGE Pau Torres | Yéremy Pino | 29 | 36 | 36
EDGE Pau Torres | Samuel Chukwueze | 25 | 36 | 39
EDGE Pau Torres | Gerard Moreno | 14 | 36 | 18
