# Graph for Java/GraphStream
# Nodes: 31
# Edges: 386

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Filip Jørgensen | Jorge Cuenca | 21 | 37 | 28
EDGE Filip Jørgensen | Matteo Gabbia | 6 | 37 | 11
EDGE Filip Jørgensen | Alfonso Pedraza | 14 | 37 | 16
EDGE Filip Jørgensen | Juan Foyth | 12 | 37 | 15
EDGE Filip Jørgensen | Étienne Capoue | 15 | 37 | 20
EDGE Filip Jørgensen | Ramón Terrats | 5 | 37 | 8
EDGE Filip Jørgensen | Dani Parejo | 29 | 37 | 35
EDGE Filip Jørgensen | Álex Baena | 31 | 37 | 39
EDGE Filip Jørgensen | Gerard Moreno | 28 | 37 | 32
EDGE Filip Jørgensen | Alexander Sørloth | 29 | 37 | 34
EDGE Filip Jørgensen | Raúl Albiol | 24 | 37 | 27
EDGE Filip Jørgensen | Adrià Altimira | 10 | 37 | 15
EDGE Filip Jørgensen | José Luis Morales | 8 | 37 | 12
EDGE Filip Jørgensen | Yéremy Pino | 7 | 37 | 8
EDGE Filip Jørgensen | Alberto Moreno | 16 | 37 | 22
EDGE Filip Jørgensen | Ilias Akhomach | 17 | 37 | 24
EDGE Filip Jørgensen | Yerson Mosquera | 12 | 37 | 15
EDGE Filip Jørgensen | Eric Bailly | 9 | 37 | 12
EDGE Filip Jørgensen | Kiko Femenía | 15 | 37 | 21
EDGE Filip Jørgensen | Francis Coquelin | 11 | 37 | 12
EDGE Filip Jørgensen | Gonçalo Guedes | 10 | 37 | 11
EDGE Filip Jørgensen | Santi Comesaña | 19 | 37 | 28
EDGE Filip Jørgensen | Aïssa Mandi | 12 | 37 | 18
EDGE Filip Jørgensen | Bertrand Traoré | 4 | 37 | 6
EDGE Filip Jørgensen | Ben Brereton Díaz | 2 | 37 | 6
EDGE Filip Jørgensen | Carlos Romero | 2 | 37 | 3
EDGE Filip Jørgensen | Denis Suárez | 1 | 37 | 2
EDGE Filip Jørgensen | Manu Trigueros | 1 | 37 | 9
EDGE Jorge Cuenca | Matteo Gabbia | 3 | 28 | 11
EDGE Jorge Cuenca | Alfonso Pedraza | 9 | 28 | 16
EDGE Jorge Cuenca | Juan Foyth | 9 | 28 | 15
EDGE Jorge Cuenca | Étienne Capoue | 9 | 28 | 20
EDGE Jorge Cuenca | Ramón Terrats | 7 | 28 | 8
EDGE Jorge Cuenca | Dani Parejo | 18 | 28 | 35
EDGE Jorge Cuenca | Álex Baena | 21 | 28 | 39
EDGE Jorge Cuenca | Gerard Moreno | 20 | 28 | 32
EDGE Jorge Cuenca | Alexander Sørloth | 17 | 28 | 34
EDGE Jorge Cuenca | Raúl Albiol | 12 | 28 | 27
EDGE Jorge Cuenca | Adrià Altimira | 9 | 28 | 15
EDGE Jorge Cuenca | José Luis Morales | 8 | 28 | 12
EDGE Jorge Cuenca | Pepe Reina | 7 | 28 | 12
EDGE Jorge Cuenca | Yerson Mosquera | 8 | 28 | 15
EDGE Jorge Cuenca | Aïssa Mandi | 8 | 28 | 18
EDGE Jorge Cuenca | Kiko Femenía | 12 | 28 | 21
EDGE Jorge Cuenca | Santi Comesaña | 18 | 28 | 28
EDGE Jorge Cuenca | Manu Trigueros | 5 | 28 | 9
EDGE Jorge Cuenca | Bertrand Traoré | 3 | 28 | 6
EDGE Jorge Cuenca | Eric Bailly | 9 | 28 | 12
EDGE Jorge Cuenca | Francis Coquelin | 9 | 28 | 12
EDGE Jorge Cuenca | Ilias Akhomach | 13 | 28 | 24
EDGE Jorge Cuenca | Gonçalo Guedes | 7 | 28 | 11
EDGE Jorge Cuenca | Alberto Moreno | 10 | 28 | 22
EDGE Jorge Cuenca | Carlos Romero | 1 | 28 | 3
EDGE Jorge Cuenca | Ben Brereton Díaz | 3 | 28 | 6
EDGE Jorge Cuenca | Jorge Pascual | 1 | 28 | 1
EDGE Jorge Cuenca | Denis Suárez | 1 | 28 | 2
EDGE Jorge Cuenca | Yéremy Pino | 2 | 28 | 8
EDGE Matteo Gabbia | Alfonso Pedraza | 4 | 11 | 16
EDGE Matteo Gabbia | Juan Foyth | 6 | 11 | 15
EDGE Matteo Gabbia | Étienne Capoue | 9 | 11 | 20
EDGE Matteo Gabbia | Ramón Terrats | 3 | 11 | 8
EDGE Matteo Gabbia | Dani Parejo | 8 | 11 | 35
EDGE Matteo Gabbia | Álex Baena | 9 | 11 | 39
EDGE Matteo Gabbia | Gerard Moreno | 6 | 11 | 32
EDGE Matteo Gabbia | Alexander Sørloth | 9 | 11 | 34
EDGE Matteo Gabbia | Pepe Reina | 5 | 11 | 12
EDGE Matteo Gabbia | Aïssa Mandi | 3 | 11 | 18
EDGE Matteo Gabbia | Alberto Moreno | 3 | 11 | 22
EDGE Matteo Gabbia | Kiko Femenía | 2 | 11 | 21
EDGE Matteo Gabbia | Manu Trigueros | 4 | 11 | 9
EDGE Matteo Gabbia | Yéremy Pino | 3 | 11 | 8
EDGE Matteo Gabbia | Raúl Albiol | 5 | 11 | 27
EDGE Matteo Gabbia | José Luis Morales | 2 | 11 | 12
EDGE Matteo Gabbia | Adrià Altimira | 5 | 11 | 15
EDGE Matteo Gabbia | Ilias Akhomach | 5 | 11 | 24
EDGE Matteo Gabbia | Santi Comesaña | 3 | 11 | 28
EDGE Matteo Gabbia | Denis Suárez | 1 | 11 | 2
EDGE Matteo Gabbia | Ben Brereton Díaz | 4 | 11 | 6
EDGE Matteo Gabbia | Carlos Romero | 2 | 11 | 3
EDGE Alfonso Pedraza | Juan Foyth | 9 | 16 | 15
EDGE Alfonso Pedraza | Étienne Capoue | 9 | 16 | 20
EDGE Alfonso Pedraza | Ramón Terrats | 3 | 16 | 8
EDGE Alfonso Pedraza | Dani Parejo | 14 | 16 | 35
EDGE Alfonso Pedraza | Álex Baena | 12 | 16 | 39
EDGE Alfonso Pedraza | Gerard Moreno | 10 | 16 | 32
EDGE Alfonso Pedraza | Alexander Sørloth | 9 | 16 | 34
EDGE Alfonso Pedraza | Raúl Albiol | 11 | 16 | 27
EDGE Alfonso Pedraza | Adrià Altimira | 7 | 16 | 15
EDGE Alfonso Pedraza | José Luis Morales | 9 | 16 | 12
EDGE Alfonso Pedraza | Yéremy Pino | 4 | 16 | 8
EDGE Alfonso Pedraza | Santi Comesaña | 6 | 16 | 28
EDGE Alfonso Pedraza | Yerson Mosquera | 1 | 16 | 15
EDGE Alfonso Pedraza | Aïssa Mandi | 7 | 16 | 18
EDGE Alfonso Pedraza | Kiko Femenía | 4 | 16 | 21
EDGE Alfonso Pedraza | Francis Coquelin | 1 | 16 | 12
EDGE Alfonso Pedraza | Ilias Akhomach | 4 | 16 | 24
EDGE Alfonso Pedraza | Pepe Reina | 2 | 16 | 12
EDGE Alfonso Pedraza | Manu Trigueros | 3 | 16 | 9
EDGE Alfonso Pedraza | Denis Suárez | 2 | 16 | 2
EDGE Alfonso Pedraza | Ben Brereton Díaz | 3 | 16 | 6
EDGE Alfonso Pedraza | Alberto Moreno | 2 | 16 | 22
EDGE Alfonso Pedraza | Eric Bailly | 1 | 16 | 12
EDGE Juan Foyth | Étienne Capoue | 9 | 15 | 20
EDGE Juan Foyth | Ramón Terrats | 4 | 15 | 8
EDGE Juan Foyth | Dani Parejo | 13 | 15 | 35
EDGE Juan Foyth | Álex Baena | 14 | 15 | 39
EDGE Juan Foyth | Gerard Moreno | 10 | 15 | 32
EDGE Juan Foyth | Alexander Sørloth | 10 | 15 | 34
EDGE Juan Foyth | Raúl Albiol | 11 | 15 | 27
EDGE Juan Foyth | Adrià Altimira | 5 | 15 | 15
EDGE Juan Foyth | José Luis Morales | 6 | 15 | 12
EDGE Juan Foyth | Yéremy Pino | 6 | 15 | 8
EDGE Juan Foyth | Santi Comesaña | 5 | 15 | 28
EDGE Juan Foyth | Aïssa Mandi | 4 | 15 | 18
EDGE Juan Foyth | Pepe Reina | 3 | 15 | 12
EDGE Juan Foyth | Alberto Moreno | 3 | 15 | 22
