# Graph for Java/GraphStream
# Nodes: 28
# Edges: 302

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Diego Conde | Logan Costa | 16 | 22 | 30
EDGE Diego Conde | Willy Kambwala | 7 | 22 | 14
EDGE Diego Conde | Sergi Cardona | 20 | 22 | 34
EDGE Diego Conde | Juan Foyth | 6 | 22 | 17
EDGE Diego Conde | Pape Gueye | 16 | 22 | 27
EDGE Diego Conde | Santi Comesaña | 17 | 22 | 30
EDGE Diego Conde | Álex Baena | 20 | 22 | 30
EDGE Diego Conde | Tajon Buchanan | 2 | 22 | 4
EDGE Diego Conde | Nicolas Pépé | 9 | 22 | 15
EDGE Diego Conde | Ayoze Pérez | 11 | 22 | 23
EDGE Diego Conde | Pau Navarro | 3 | 22 | 10
EDGE Diego Conde | Dani Parejo | 15 | 22 | 28
EDGE Diego Conde | Yéremy Pino | 13 | 22 | 26
EDGE Diego Conde | Raúl Albiol | 12 | 22 | 14
EDGE Diego Conde | Ramón Terrats | 1 | 22 | 2
EDGE Diego Conde | Thierno Barry | 13 | 22 | 26
EDGE Diego Conde | Kiko Femenía | 16 | 22 | 27
EDGE Diego Conde | Ilias Akhomach | 7 | 22 | 7
EDGE Diego Conde | Eric Bailly | 6 | 22 | 8
EDGE Diego Conde | Arnaut Danjuma | 3 | 22 | 3
EDGE Diego Conde | Gerard Moreno | 3 | 22 | 7
EDGE Diego Conde | Denis Suárez | 2 | 22 | 8
EDGE Diego Conde | Alfonso Pedraza | 1 | 22 | 4
EDGE Diego Conde | Juan Bernat | 1 | 22 | 3
EDGE Logan Costa | Willy Kambwala | 8 | 30 | 14
EDGE Logan Costa | Sergi Cardona | 25 | 30 | 34
EDGE Logan Costa | Juan Foyth | 13 | 30 | 17
EDGE Logan Costa | Pape Gueye | 20 | 30 | 27
EDGE Logan Costa | Santi Comesaña | 21 | 30 | 30
EDGE Logan Costa | Álex Baena | 21 | 30 | 30
EDGE Logan Costa | Tajon Buchanan | 3 | 30 | 4
EDGE Logan Costa | Nicolas Pépé | 13 | 30 | 15
EDGE Logan Costa | Ayoze Pérez | 19 | 30 | 23
EDGE Logan Costa | Pau Navarro | 9 | 30 | 10
EDGE Logan Costa | Dani Parejo | 22 | 30 | 28
EDGE Logan Costa | Yéremy Pino | 20 | 30 | 26
EDGE Logan Costa | Luiz Júnior | 14 | 30 | 18
EDGE Logan Costa | Juan Bernat | 3 | 30 | 3
EDGE Logan Costa | Ramón Terrats | 2 | 30 | 2
EDGE Logan Costa | Pau Cabanes | 2 | 30 | 2
EDGE Logan Costa | Alassane Diatta | 1 | 30 | 1
EDGE Logan Costa | Denis Suárez | 6 | 30 | 8
EDGE Logan Costa | Gerard Moreno | 3 | 30 | 7
EDGE Logan Costa | Thierno Barry | 21 | 30 | 26
EDGE Logan Costa | Kiko Femenía | 18 | 30 | 27
EDGE Logan Costa | Raúl Albiol | 10 | 30 | 14
EDGE Logan Costa | Ilias Akhomach | 5 | 30 | 7
EDGE Logan Costa | Alfonso Pedraza | 3 | 30 | 4
EDGE Logan Costa | Eric Bailly | 2 | 30 | 8
EDGE Willy Kambwala | Sergi Cardona | 10 | 14 | 34
EDGE Willy Kambwala | Juan Foyth | 7 | 14 | 17
EDGE Willy Kambwala | Pape Gueye | 12 | 14 | 27
EDGE Willy Kambwala | Santi Comesaña | 10 | 14 | 30
EDGE Willy Kambwala | Álex Baena | 10 | 14 | 30
EDGE Willy Kambwala | Tajon Buchanan | 3 | 14 | 4
EDGE Willy Kambwala | Nicolas Pépé | 4 | 14 | 15
EDGE Willy Kambwala | Ayoze Pérez | 8 | 14 | 23
EDGE Willy Kambwala | Luiz Júnior | 7 | 14 | 18
EDGE Willy Kambwala | Juan Bernat | 2 | 14 | 3
EDGE Willy Kambwala | Pau Navarro | 5 | 14 | 10
EDGE Willy Kambwala | Dani Parejo | 5 | 14 | 28
EDGE Willy Kambwala | Ramón Terrats | 1 | 14 | 2
EDGE Willy Kambwala | Yéremy Pino | 9 | 14 | 26
EDGE Willy Kambwala | Pau Cabanes | 2 | 14 | 2
EDGE Willy Kambwala | Alassane Diatta | 1 | 14 | 1
EDGE Willy Kambwala | Denis Suárez | 5 | 14 | 8
EDGE Willy Kambwala | Gerard Moreno | 3 | 14 | 7
EDGE Willy Kambwala | Thierno Barry | 9 | 14 | 26
EDGE Willy Kambwala | Kiko Femenía | 6 | 14 | 27
EDGE Willy Kambwala | Eric Bailly | 2 | 14 | 8
EDGE Willy Kambwala | Alfonso Pedraza | 2 | 14 | 4
EDGE Willy Kambwala | Ilias Akhomach | 1 | 14 | 7
EDGE Willy Kambwala | Arnaut Danjuma | 1 | 14 | 3
EDGE Sergi Cardona | Juan Foyth | 16 | 34 | 17
EDGE Sergi Cardona | Pape Gueye | 22 | 34 | 27
EDGE Sergi Cardona | Santi Comesaña | 28 | 34 | 30
EDGE Sergi Cardona | Álex Baena | 27 | 34 | 30
EDGE Sergi Cardona | Tajon Buchanan | 3 | 34 | 4
EDGE Sergi Cardona | Nicolas Pépé | 13 | 34 | 15
EDGE Sergi Cardona | Ayoze Pérez | 21 | 34 | 23
EDGE Sergi Cardona | Pau Navarro | 6 | 34 | 10
EDGE Sergi Cardona | Dani Parejo | 24 | 34 | 28
EDGE Sergi Cardona | Yéremy Pino | 21 | 34 | 26
EDGE Sergi Cardona | Luiz Júnior | 14 | 34 | 18
EDGE Sergi Cardona | Kiko Femenía | 25 | 34 | 27
EDGE Sergi Cardona | Denis Suárez | 5 | 34 | 8
EDGE Sergi Cardona | Thierno Barry | 22 | 34 | 26
EDGE Sergi Cardona | Raúl Albiol | 13 | 34 | 14
EDGE Sergi Cardona | Ramón Terrats | 1 | 34 | 2
EDGE Sergi Cardona | Ilias Akhomach | 7 | 34 | 7
EDGE Sergi Cardona | Gerard Moreno | 6 | 34 | 7
EDGE Sergi Cardona | Eric Bailly | 7 | 34 | 8
EDGE Sergi Cardona | Arnaut Danjuma | 3 | 34 | 3
EDGE Sergi Cardona | Alfonso Pedraza | 1 | 34 | 4
EDGE Juan Foyth | Pape Gueye | 11 | 17 | 27
